quiz_title,quiz_description,quiz_public,author_email,question_text,question_type,alternative_text,alternative_is_correct
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Requisitos funcionais dizem respeito a:,multiple_choice,Limitações legais e contratuais,false
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Requisitos funcionais dizem respeito a:,multiple_choice,Metas de negócio da organização,false
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,O que é Engenharia de Requisitos (ER)?,multiple_choice,Abordagem sistemática e disciplinada para especificação e gerenciamento de requisitos,true
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,O que é Engenharia de Requisitos (ER)?,multiple_choice,Escrita de código a partir de requisitos,false
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,O que é Engenharia de Requisitos (ER)?,multiple_choice,Teste de sistemas para encontrar defeitos,false
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,O que é Engenharia de Requisitos (ER)?,multiple_choice,Gerenciamento do cronograma de um projeto,false
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Um stakeholder é:,multiple_choice,Pessoa ou organização que influencia os requisitos de um sistema ou é impactada por ele,true
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Um stakeholder é:,multiple_choice,Apenas o cliente que paga pelo sistema,false
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Um stakeholder é:,multiple_choice,Somente o usuário final do sistema,false
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Um stakeholder é:,multiple_choice,Qualquer funcionário da empresa desenvolvedora,false
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Um sistema que abrange software, hardware, pessoas e aspectos organizacionais é chamado de:",multiple_choice,Sistema ciberfísico,false
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Um sistema que abrange software, hardware, pessoas e aspectos organizacionais é chamado de:",multiple_choice,Sistema sociotécnico,true
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Um sistema que abrange software, hardware, pessoas e aspectos organizacionais é chamado de:",multiple_choice,Sistema embarcado,false
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Um sistema que abrange software, hardware, pessoas e aspectos organizacionais é chamado de:",multiple_choice,Sistema distribuído,false
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Os requisitos de usuário são:,multiple_choice,Um subconjunto dos requisitos de stakeholder,true
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Os requisitos de usuário são:,multiple_choice,Idênticos aos requisitos de negócio,false
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Os requisitos de usuário são:,multiple_choice,O mesmo que requisitos de domínio,false
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Os requisitos de usuário são:,multiple_choice,Um sinônimo de requisitos de software,false
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Quais são as principais tarefas da ER?,multiple_choice,"Elicitação, documentação, validação e gerenciamento",true
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Quais são as principais tarefas da ER?,multiple_choice,"Codificação, teste, implantação e operação",false
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Quais são as principais tarefas da ER?,multiple_choice,"Planejamento, orçamento, contratação e supervisão",false
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Quais são as principais tarefas da ER?,multiple_choice,"Análise de risco, arquitetura, projeto e segurança",false
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Detectar e corrigir requisitos errados ou ausentes no início do desenvolvimento:,multiple_choice,É muito mais barato do que corrigi-los em etapas posteriores ou após a implantação,true
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Detectar e corrigir requisitos errados ou ausentes no início do desenvolvimento:,multiple_choice,Tem o mesmo custo em qualquer fase do projeto,false
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Detectar e corrigir requisitos errados ou ausentes no início do desenvolvimento:,multiple_choice,"É mais caro, pois exige mais análise",false
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Detectar e corrigir requisitos errados ou ausentes no início do desenvolvimento:,multiple_choice,"É desnecessário, pois os testes encontram os problemas",false
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Os requisitos existem sempre, mesmo quando não são explicitamente capturados e documentados.",true_false,Verdadeiro,true
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Os requisitos existem sempre, mesmo quando não são explicitamente capturados e documentados.",true_false,Falso,false
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Um requisito funcional nunca contém informações sobre como o sistema deve fazer algo.,true_false,Verdadeiro,false
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Um requisito funcional nunca contém informações sobre como o sistema deve fazer algo.,true_false,Falso,true
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"A ER pode ser aplicada a requisitos de qualquer tipo de sistema, mas hoje se aplica predominantemente a sistemas onde o software desempenha um papel fundamental.",true_false,Verdadeiro,true
Introdução à Engenharia de Requisitos,Baseado no Capítulo 1 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"A ER pode ser aplicada a requisitos de qualquer tipo de sistema, mas hoje se aplica predominantemente a sistemas onde o software desempenha um papel fundamental.",true_false,Falso,false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Quantos princípios fundamentais regem a Engenharia de Requisitos?,multiple_choice,Cinco,false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Quantos princípios fundamentais regem a Engenharia de Requisitos?,multiple_choice,Sete,false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Quantos princípios fundamentais regem a Engenharia de Requisitos?,multiple_choice,Nove,true
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Quantos princípios fundamentais regem a Engenharia de Requisitos?,multiple_choice,Doze,false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Segundo o Princípio 1 (Orientação para o valor), o valor de um requisito é:",multiple_choice,Seu benefício menos seu custo,true
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Segundo o Princípio 1 (Orientação para o valor), o valor de um requisito é:",multiple_choice,O custo de implementá-lo no sistema,false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Segundo o Princípio 1 (Orientação para o valor), o valor de um requisito é:",multiple_choice,O número de stakeholders que o pediram,false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Segundo o Princípio 1 (Orientação para o valor), o valor de um requisito é:",multiple_choice,O tamanho da especificação em que aparece,false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Sobre o valor econômico da ER, é correto afirmar:",multiple_choice,É principalmente indireto; a ER como tal é apenas custo,true
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Sobre o valor econômico da ER, é correto afirmar:",multiple_choice,"É direto, pois os clientes pagam pelos requisitos",false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Sobre o valor econômico da ER, é correto afirmar:",multiple_choice,Não possui valor econômico mensurável,false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Sobre o valor econômico da ER, é correto afirmar:",multiple_choice,É sempre proporcional ao tempo gasto na elicitação,false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,O Princípio 3 distingue duas formas de entendimento compartilhado. O entendimento explícito:,multiple_choice,"É alcançado por requisitos cuidadosamente elaborados, documentados e acordados",true
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,O Princípio 3 distingue duas formas de entendimento compartilhado. O entendimento explícito:,multiple_choice,Baseia-se no conhecimento comum de necessidades e contexto,false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,O Princípio 3 distingue duas formas de entendimento compartilhado. O entendimento explícito:,multiple_choice,Nunca pode ser falso,false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,O Princípio 3 distingue duas formas de entendimento compartilhado. O entendimento explícito:,multiple_choice,"É típico da ER ágil, sem especificação escrita",false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Na ER, ""contexto"" é definido como:",multiple_choice,A parte do ambiente do sistema relevante para a compreensão do sistema e de seus requisitos,true
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Na ER, ""contexto"" é definido como:",multiple_choice,"Todo o domínio de aplicação, sem exceções",false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Na ER, ""contexto"" é definido como:",multiple_choice,Apenas o hardware do sistema,false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Na ER, ""contexto"" é definido como:",multiple_choice,O conjunto de concorrentes do sistema,false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,O limite do contexto é:,multiple_choice,A fronteira entre o contexto e as partes do domínio irrelevantes para o sistema,true
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,O limite do contexto é:,multiple_choice,A fronteira entre o sistema e o seu contexto adjacente,false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,O limite do contexto é:,multiple_choice,O escopo de desenvolvimento do sistema,false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,O limite do contexto é:,multiple_choice,A interface de usuário do sistema,false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Validação, na ER, é o processo de confirmar que:",multiple_choice,Os requisitos documentados correspondem às necessidades dos stakeholders,true
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Validação, na ER, é o processo de confirmar que:",multiple_choice,O código implementado está livre de defeitos,false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Validação, na ER, é o processo de confirmar que:",multiple_choice,O sistema atinge o desempenho especificado,false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Validação, na ER, é o processo de confirmar que:",multiple_choice,O orçamento do projeto foi cumprido,false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Para reduzir o impacto do falso entendimento compartilhado, a prática mais importante é:",multiple_choice,Usar um processo com ciclos de feedback curtos,true
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Para reduzir o impacto do falso entendimento compartilhado, a prática mais importante é:",multiple_choice,Escrever requisitos cada vez mais longos,false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Para reduzir o impacto do falso entendimento compartilhado, a prática mais importante é:",multiple_choice,Contratar mais desenvolvedores,false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Para reduzir o impacto do falso entendimento compartilhado, a prática mais importante é:",multiple_choice,Evitar reuniões com os stakeholders,false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Segundo o Princípio 5, apesar do entrelaçamento inevitável, os Engenheiros de Requisitos procuram:",multiple_choice,"Separar as preocupações com requisitos das preocupações com soluções ao pensar, comunicar e documentar",true
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Segundo o Princípio 5, apesar do entrelaçamento inevitável, os Engenheiros de Requisitos procuram:",multiple_choice,"Unificar problemas, requisitos e soluções em um único documento",false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Segundo o Princípio 5, apesar do entrelaçamento inevitável, os Engenheiros de Requisitos procuram:",multiple_choice,Ignorar a viabilidade técnica das soluções,false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Segundo o Princípio 5, apesar do entrelaçamento inevitável, os Engenheiros de Requisitos procuram:",multiple_choice,Especificar apenas requisitos já implementados,false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Segundo o Princípio 8 (Inovação), bons Engenheiros de Requisitos:",multiple_choice,"Vão além do que os stakeholders pedem, buscando formas melhores de resolver o problema",true
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Segundo o Princípio 8 (Inovação), bons Engenheiros de Requisitos:",multiple_choice,"Registram exatamente o que os stakeholders pedem, sem questionar",false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Segundo o Princípio 8 (Inovação), bons Engenheiros de Requisitos:",multiple_choice,Acreditam que sabem tudo melhor que os stakeholders,false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Segundo o Princípio 8 (Inovação), bons Engenheiros de Requisitos:",multiple_choice,Evitam propor novas funcionalidades,false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"A mudança de requisitos não é um acidente, mas o caso normal.",true_false,Verdadeiro,true
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"A mudança de requisitos não é um acidente, mas o caso normal.",true_false,Falso,false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Requisitos não validados são inúteis.,true_false,Verdadeiro,true
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Requisitos não validados são inúteis.,true_false,Falso,false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,A agilidade e a flexibilidade são desculpas válidas para um estilo de trabalho desordenado e ad hoc na ER.,true_false,Verdadeiro,false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,A agilidade e a flexibilidade são desculpas válidas para um estilo de trabalho desordenado e ad hoc na ER.,true_false,Falso,true
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Existe um processo universal de ER que funciona bem em toda situação — não há ""tamanho único"".",true_false,Verdadeiro,false
Princípios Fundamentais da ER,Baseado no Capítulo 2 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Existe um processo universal de ER que funciona bem em toda situação — não há ""tamanho único"".",true_false,Falso,true
Produtos de Trabalho na ER,Baseado no Capítulo 3 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Um produto de trabalho é:,multiple_choice,O registro de resultados intermediários ou finais gerados por um processo de trabalho,true
Produtos de Trabalho na ER,Baseado no Capítulo 3 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Um produto de trabalho é:,multiple_choice,O código-fonte do sistema,false
Produtos de Trabalho na ER,Baseado no Capítulo 3 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Um produto de trabalho é:,multiple_choice,A equipe responsável pelo desenvolvimento,false
Produtos de Trabalho na ER,Baseado no Capítulo 3 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Um produto de trabalho é:,multiple_choice,O cronograma de um projeto,false
Produtos de Trabalho na ER,Baseado no Capítulo 3 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Quais são as três categorias de produtos de trabalho com respeito à vida útil?,multiple_choice,"Temporários, evolutivos e duráveis",true
Produtos de Trabalho na ER,Baseado no Capítulo 3 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Quais são as três categorias de produtos de trabalho com respeito à vida útil?,multiple_choice,"Novos, revisados e aprovados",false
Produtos de Trabalho na ER,Baseado no Capítulo 3 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Quais são as três categorias de produtos de trabalho com respeito à vida útil?,multiple_choice,"Pequenos, médios e grandes",false
Produtos de Trabalho na ER,Baseado no Capítulo 3 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Quais são as três categorias de produtos de trabalho com respeito à vida útil?,multiple_choice,"Textuais, gráficos e mistos",false
Produtos de Trabalho na ER,Baseado no Capítulo 3 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Produtos de trabalho temporários:,multiple_choice,"São descartados após o uso, sem manter metadados",true
Produtos de Trabalho na ER,Baseado no Capítulo 3 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Produtos de trabalho temporários:,multiple_choice,São sempre configurados como baseline,false
Produtos de Trabalho na ER,Baseado no Capítulo 3 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Produtos de trabalho temporários:,multiple_choice,Nunca podem se tornar evolutivos,false
Produtos de Trabalho na ER,Baseado no Capítulo 3 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Produtos de trabalho temporários:,multiple_choice,Exigem processo formal de mudança,false
Produtos de Trabalho na ER,Baseado no Capítulo 3 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,O template de frase da ISO/IEC/IEEE 29148 para um requisito individual é:,multiple_choice,[Condição] Sujeito Ação Objetos [Restrição],true
Produtos de Trabalho na ER,Baseado no Capítulo 3 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,O template de frase da ISO/IEC/IEEE 29148 para um requisito individual é:,multiple_choice,Como [papel] eu quero [requisito] para [benefício],false
Produtos de Trabalho na ER,Baseado no Capítulo 3 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,O template de frase da ISO/IEC/IEEE 29148 para um requisito individual é:,multiple_choice,SE [pré-condição] ENTÃO o sistema deverá [resposta],false
Produtos de Trabalho na ER,Baseado no Capítulo 3 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,O template de frase da ISO/IEC/IEEE 29148 para um requisito individual é:,multiple_choice,QUANDO [estado] o sistema deverá [resposta],false
Produtos de Trabalho na ER,Baseado no Capítulo 3 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"O template clássico de história de usuário, introduzido por Cohn, é:",multiple_choice,Como [papel] eu quero [requisito] para [benefício],true
Produtos de Trabalho na ER,Baseado no Capítulo 3 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"O template clássico de história de usuário, introduzido por Cohn, é:",multiple_choice,O sistema deve [ação] quando [condição],false
Produtos de Trabalho na ER,Baseado no Capítulo 3 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"O template clássico de história de usuário, introduzido por Cohn, é:",multiple_choice,[Ator] [ação] [objeto],false
Produtos de Trabalho na ER,Baseado no Capítulo 3 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"O template clássico de história de usuário, introduzido por Cohn, é:",multiple_choice,QUANDO [evento] o [sistema] deverá [resposta],false
Produtos de Trabalho na ER,Baseado no Capítulo 3 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Na escrita de requisitos em linguagem natural, ""deverá"" denota:",multiple_choice,Um requisito obrigatório,true
Produtos de Trabalho na ER,Baseado no Capítulo 3 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Na escrita de requisitos em linguagem natural, ""deverá"" denota:",multiple_choice,"Um requisito não obrigatório, mas fortemente desejado",false
Produtos de Trabalho na ER,Baseado no Capítulo 3 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Na escrita de requisitos em linguagem natural, ""deverá"" denota:",multiple_choice,Uma declaração factual,false
Produtos de Trabalho na ER,Baseado no Capítulo 3 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,"Na escrita de requisitos em linguagem natural, ""deverá"" denota:",multiple_choice,Um requisito apenas sugerido,false
Produtos de Trabalho na ER,Baseado no Capítulo 3 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Qual alternativa é uma ARMADILHA a evitar ao escrever requisitos em linguagem natural?,multiple_choice,Usar voz passiva sem sujeito explícito,true
Produtos de Trabalho na ER,Baseado no Capítulo 3 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Qual alternativa é uma ARMADILHA a evitar ao escrever requisitos em linguagem natural?,multiple_choice,Escrever frases curtas e bem estruturadas,false
Produtos de Trabalho na ER,Baseado no Capítulo 3 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Qual alternativa é uma ARMADILHA a evitar ao escrever requisitos em linguagem natural?,multiple_choice,Definir terminologia uniforme no glossário,false
Produtos de Trabalho na ER,Baseado no Capítulo 3 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Qual alternativa é uma ARMADILHA a evitar ao escrever requisitos em linguagem natural?,multiple_choice,Evitar termos vagos e ambíguos,false
Produtos de Trabalho na ER,Baseado no Capítulo 3 do CPRE Foundation Level Handbook (v1.2.2).,true,clara@quiz.com,Um modelo que indica qual é a realidade futura esperada ou necessária é chamado de:,multiple_choice,Modelo prescritivo,true
